ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;RO;QUEROSENE DE AVIAÇÃO;1100106;GUAJARA-MIRIM;88308
1990;REGIÃO NORTE;RO;QUEROSENE DE AVIAÇÃO;1100122;JI-PARANA;36443
1990;REGIÃO NORTE;RO;QUEROSENE DE AVIAÇÃO;1100205;PORTO VELHO;14728500
1990;REGIÃO NORTE;RO;QUEROSENE DE AVIAÇÃO;1100304;VILHENA;975184
1990;REGIÃO NORTE;AC;QUEROSENE DE AVIAÇÃO;1200203;CRUZEIRO DO SUL;1939919
1990;REGIÃO NORTE;AC;QUEROSENE DE AVIAÇÃO;1200401;RIO BRANCO;6242359
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1300409;BARCELOS;316496
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1301001;CARAUARI;1018375
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1301209;COARI;979828
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1301308;CODAJAS;4488
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1302603;MANAUS;152746010
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1302702;MANICORE;558078
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1303809;SAO GABRIEL DA CACHOEI;4128357
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1304062;TABATINGA;1836821
1990;REGIÃO NORTE;AM;QUEROSENE DE AVIAÇÃO;1304203;TEFE;3071912
1990;REGIÃO NORTE;RR;QUEROSENE DE AVIAÇÃO;1400100;BOA VISTA;10093914
1990;REGIÃO NORTE;RR;QUEROSENE DE AVIAÇÃO;1400209;CARACARAI;55413
1990;REGIÃO NORTE;RR;QUEROSENE DE AVIAÇÃO;1400308;MUCAJAI;79028
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1500503;ALMEIRIM;347654
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1500602;ALTAMIRA;1942552
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1501402;BELEM;71296389
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1502707;CONCEICAO DO ARAGUAIA;1361929
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1503606;ITAITUBA;3620762
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1504208;MARABA;4622335
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1505536;PARAUAPEBAS;96951
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1506138;REDENCAO;25741
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1506708;SANTANA DO ARAGUAIA;189349
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1506807;SANTAREM;14533353
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1507300;SAO FELIX DO XINGU;270309
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1508100;TUCURUI;1174606
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1508084;TUCUMA;99944
1990;REGIÃO NORTE;PA;QUEROSENE DE AVIAÇÃO;1508407;XINGUARA;19970
1990;REGIÃO NORTE;AP;QUEROSENE DE AVIAÇÃO;1600303;MACAPA;4103496
1990;REGIÃO NORTE;TO;QUEROSENE DE AVIAÇÃO;1708205;FORMOSO DO ARAGUAIA;26104
1990;REGIÃO NORTE;TO;QUEROSENE DE AVIAÇÃO;1709500;GURUPI;467534
1990;REGIÃO NORTE;TO;QUEROSENE DE AVIAÇÃO;1713205;MIRACEMA DO TOCANTINS;104777
1990;REGIÃO NORTE;TO;QUEROSENE DE AVIAÇÃO;1718204;PORTO NACIONAL;629465
1990;REGIÃO NORDESTE;PE;QUEROSENE DE AVIAÇÃO;2605459;FERNANDO DE NORONHA;1125250
1990;REGIÃO NORDESTE;MA;QUEROSENE DE AVIAÇÃO;2100055;ACAILANDIA;851374
1990;REGIÃO NORDESTE;MA;QUEROSENE DE AVIAÇÃO;2100204;ALCANTARA;29730
